transaction_id,transaction_time,customer_id,region,amount,date,hour


4553,2025-12-22 22:20:34.666088,94,West,4547.64,2025-12-22,22
4553,2025-12-22 22:20:34.666088,94,West,4547.64,2025-12-22,22
945679,2025-12-23 01:06:24.598933,1837,East,2402.66,2025-12-23,1
221418,2025-12-23 01:06:24.598933,2830,North,2978.72,2025-12-23,1
266761,2025-12-23 01:06:24.598933,2983,North,1564.61,2025-12-23,1
448686,2025-12-23 01:06:24.598933,4618,East,1564.09,2025-12-23,1
166915,2025-12-23 01:06:24.598933,4031,East,3095.91,2025-12-23,1
852946,2025-12-23 01:06:24.598933,3527,East,4009.79,2025-12-23,1
763092,2025-12-23 01:06:24.598933,2868,South,4598.45,2025-12-23,1
712446,2025-12-23 01:06:24.598933,3189,West,2144.25,2025-12-23,1
645916,2025-12-23 01:06:24.598933,368,West,4872.48,2025-12-23,1
949472,2025-12-23 01:06:24.598933,4218,North,4192.05,2025-12-23,1
989133,2025-12-23 01:06:24.598933,1881,West,4679.37,2025-12-23,1
958660,2025-12-23 01:06:24.598933,2779,East,1990.7,2025-12-23,1
220329,2025-12-23 01:06:24.598933,2442,West,1750.62,2025-12-23,1
463053,2025-12-23 01:06:24.598933,3539,South,4517.28,2025-12-23,1
547320,2025-12-23 01:06:24.598933,1411,West,3231.93,2025-12-23,1
394356,2025-12-23 01:06:24.598933,647,South,2730.15,2025-12-23,1
334359,2025-12-23 01:06:24.598933,3969,West,3819.14,2025-12-23,1
409132,2025-12-23 01:06:24.598933,391,East,4513.19,2025-12-23,1
510901,2025-12-23 01:06:24.598933,3833,South,460.9,2025-12-23,1
809475,2025-12-23 01:06:24.598933,1336,West,455.6,2025-12-23,1
287150,2025-12-23 01:06:24.598933,3886,South,1125.29,2025-12-23,1
359976,2025-12-23 01:06:24.598933,3087,West,4168.49,2025-12-23,1
673717,2025-12-23 01:06:24.598933,2784,North,4995.5,2025-12-23,1
201978,2025-12-23 01:06:24.598933,1926,North,1074.17,2025-12-23,1
252767,2025-12-23 01:06:24.598933,6,East,2923.47,2025-12-23,1
573744,2025-12-23 01:06:24.598933,1070,North,4002.97,2025-12-23,1
910893,2025-12-23 01:06:24.598933,1196,East,3900.17,2025-12-23,1
763549,2025-12-23 01:06:24.598933,1103,South,3538.61,2025-12-23,1
154806,2025-12-23 01:06:24.598933,3697,South,981.25,2025-12-23,1
253626,2025-12-23 01:06:24.598933,1745,North,4097.2,2025-12-23,1
242902,2025-12-23 01:06:24.598933,4034,East,1484.47,2025-12-23,1
130760,2025-12-23 01:06:24.598933,497,East,3332.4,2025-12-23,1
949486,2025-12-23 01:06:24.598933,2698,North,3924.49,2025-12-23,1
149707,2025-12-23 01:06:24.598933,1273,East,4113.27,2025-12-23,1
722657,2025-12-23 01:06:24.598933,3328,North,4796.19,2025-12-23,1
342458,2025-12-23 01:06:24.598933,1884,South,2204.61,2025-12-23,1
560322,2025-12-23 01:06:24.598933,3856,South,262.87,2025-12-23,1
423287,2025-12-23 01:06:24.598933,4303,East,889.04,2025-12-23,1
353018,2025-12-23 01:06:24.598933,1729,East,1836.79,2025-12-23,1
